id,restaurants,shopping,food,health,art,beautysvc,education,active,nightlife
1014000,92,200,157,219,72,0,54,39,11
1014300,1000,1000,1000,819,19,1,292,259,211
1014401,39,136,90,39,58,0,51,29,6
1014402,49,143,108,59,58,0,49,33,9
1014500,83,188,157,199,91,0,60,57,31
1014602,100,169,158,79,74,0,54,36,26
1014801,42,162,91,99,62,0,48,30,4
1014802,59,190,118,119,73,0,51,39,6
1014900,49,150,102,99,97,0,59,39,15
1015002,34,169,79,119,65,0,51,31,4
1015100,24,133,65,39,70,0,55,37,5
1015200,54,144,110,59,61,0,52,39,4
1015400,117,158,192,79,70,0,56,39,23
1015500,37,144,79,99,73,0,59,36,7
1015602,19,132,64,39,57,0,52,19,4
1015700,102,236,181,119,88,0,60,59,18
1015801,51,164,115,99,67,0,53,37,6
1015900,56,173,117,99,78,0,56,39,11
1016001,35,161,82,79,65,0,55,19,4
1016100,69,182,130,59,78,1,51,59,12
1016200,52,145,97,39,59,0,49,19,2
1016300,56,189,117,59,76,1,51,39,14
1016500,86,173,141,59,78,0,54,39,19
1016600,60,151,115,39,58,0,46,19,7
1016700,104,346,195,99,19,0,106,39,23
1016800,52,133,95,79,56,0,46,19,3
1017000,61,160,110,39,62,0,49,19,6
1017100,87,352,177,99,19,0,108,39,18
1017200,56,152,122,39,58,0,47,19,6
1017401,19,130,60,39,54,0,45,19,2
1017402,18,127,58,39,54,0,48,19,3
1017500,57,164,115,59,70,0,59,19,7
1017800,43,143,99,39,56,0,46,19,5
1017900,64,169,133,39,66,0,55,37,8
1018000,61,140,116,39,59,0,49,19,5
1018300,66,176,138,59,69,0,61,37,9
1018400,30,136,74,39,58,0,49,19,6
1018600,22,132,63,39,55,0,48,19,4
1018700,65,162,131,59,70,0,55,39,7
1018800,75,148,133,39,55,0,48,19,4
1019000,23,139,64,39,58,0,47,19,6
1019100,77,153,143,59,69,0,50,39,20
1019200,17,137,59,39,55,0,45,19,3
1019300,75,141,127,39,56,0,49,19,8
1019500,79,154,142,55,63,0,47,19,22
1019600,40,145,86,39,55,0,46,19,2
1019701,74,144,135,59,64,0,58,19,12
1019800,34,142,80,55,58,0,46,19,3
1019900,59,152,121,59,61,0,53,19,6
1020000,40,156,86,56,62,0,47,19,8
1020102,34,131,76,39,55,0,46,19,6
1020500,33,138,80,39,63,0,53,19,5
1020600,19,131,58,39,55,0,45,19,3
1020800,38,137,82,39,59,0,47,19,9
1020901,31,141,75,39,58,0,48,19,4
1021000,26,136,69,39,57,0,47,19,4
1021100,55,147,108,39,63,0,50,19,8
1021303,23,135,63,39,56,0,46,19,4
1021400,23,131,62,39,54,0,46,19,4
1021500,23,132,64,39,54,0,45,19,5
1021703,32,138,80,39,59,0,46,19,3
1021800,57,141,111,39,58,0,48,19,9
1021900,55,147,106,39,58,0,47,19,10
1022000,45,138,94,39,59,0,48,19,15
1022200,48,186,92,39,70,0,49,19,11
1022301,44,137,96,39,54,0,46,19,5
1018200,70,155,125,39,57,0,48,19,6
1022302,18,128,54,39,53,0,45,19,5
1022500,53,144,113,39,53,0,46,19,11
1022600,41,140,88,39,58,0,46,19,8
1022700,35,134,80,39,57,0,48,19,5
1022900,62,148,115,39,54,0,46,19,10
1023000,35,135,79,39,55,0,48,19,5
1023100,36,136,80,39,57,0,46,19,4
1023300,51,145,101,39,55,0,44,19,8
1023400,31,131,71,39,54,0,45,19,3
1023501,23,126,62,39,54,0,45,19,3
1023600,38,131,87,39,54,0,45,19,2
1023700,39,130,81,39,55,0,46,19,5
1023801,72,147,132,79,65,0,54,39,15
1023802,25,130,65,39,57,0,50,19,4
1024000,35,141,90,39,65,0,50,33,5
1024100,38,133,77,39,56,0,46,19,3
1024200,42,150,85,39,57,0,49,19,6
1024302,21,126,64,38,55,0,44,19,3
1024500,55,144,103,54,57,0,45,19,3
1024700,25,127,63,59,53,0,46,19,2
1025100,54,135,106,59,59,0,47,19,4
1025300,56,140,105,59,56,0,47,19,4
1025500,26,126,70,59,56,0,48,30,2
1025900,40,137,89,39,55,0,45,19,3
1026100,29,132,72,39,54,0,44,19,5
1026300,49,138,102,39,55,0,46,19,5
1026500,42,139,95,54,57,0,48,19,5
1026900,47,144,90,39,54,0,47,19,5
1027100,48,167,98,57,57,0,44,19,5
1027300,40,135,95,59,58,0,47,19,7
1027500,42,136,97,57,56,0,48,19,7
1027900,41,134,96,39,54,0,47,19,6
1028100,19,126,56,39,54,0,47,19,5
1028500,38,140,87,19,53,0,44,19,9
1028700,55,142,109,39,57,0,47,19,16
1029100,56,146,113,39,57,0,45,19,11
1029500,43,138,96,39,60,0,47,19,9
1029700,59,160,115,39,71,0,58,19,11
1031100,211,232,338,119,71,0,56,39,25
1031704,59,141,117,39,60,0,54,38,7
1031900,23,118,60,39,52,0,48,19,2
1002602,55,133,104,39,65,0,47,33,27
1010000,267,259,363,274,86,0,55,59,47
1015300,74,198,130,99,100,0,62,59,14
1022400,49,158,96,39,68,0,48,19,13
1012100,246,199,337,76,99,0,70,39,67
1020701,20,135,58,39,56,0,49,19,2
