the_geom,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.97691168292405 40.774909124027175, -73.97737084993076 40.7742810072139, -73.9778263936497 40.77365619192184, -73.9782822010232 40.773031878738145, -73.97872246792149 40.772418898285196, -73.98157266011323 40.773602074107664, -73.98211386661632 40.773828582194035, -73.98222695293107 40.7738759030357, -73.98233902178632 40.7739231331463, -73.98441202548447 40.774808077634745, -73.98397150935543 40.775429273739235, -73.98349614846026 40.77604586136011, -73.98304666819179 40.776682677126665, -73.98258286100815 40.77730283772488, -73.98221146369202 40.77714286003869, -73.98210205601943 40.777095738462656, -73.98198605112194 40.77704703045802, -73.97974615536191 40.776106479564355, -73.97691168292405 40.774909124027175)))",153,1,Manhattan,15300,1015300,I,MN14,Lincoln Square,3806,5674.292342,1872392.705
"MULTIPOLYGON (((-73.9456698157925 40.78194717618919, -73.94573785309694 40.78185404204143, -73.94588094490067 40.781658165988055, -73.94613091651331 40.78131597838769, -73.94619718707209 40.78122601824259, -73.94630631684224 40.78107787603926, -73.94642443300472 40.780917534019736, -73.94647764179379 40.78084530304321, -73.94659059180273 40.780691973573504, -73.94704921915438 40.78006434666762, -73.9475081811184 40.77943712260658, -73.94796768189843 40.778806465984275, -73.95033629840196 40.779809968424985, -73.95257421938273 40.78075303402301, -73.95212203271694 40.78138671022084, -73.95165920749092 40.782007674165406, -73.95119927339067 40.78263339245866, -73.95073913807916 40.78326171027435, -73.95028254920825 40.78389046999267, -73.94803869450895 40.78294226895169, -73.9456698157925 40.78194717618919)))",154,1,Manhattan,15400,1015400,I,MN32,Yorkville,3805,5536.958004,1909222.234
"MULTIPOLYGON (((-73.94472264526976 40.78324757213889, -73.94521308609056 40.782570746571324, -73.9452503552353 40.78251986372316, -73.94536565174754 40.78236245083016, -73.9456698157925 40.78194717618919, -73.94803869450895 40.78294226895169, -73.95028254920825 40.78389046999267, -73.94982390409018 40.784515571045716, -73.94933170560962 40.78519312655764, -73.94706938226676 40.784236227617285, -73.94472264526976 40.78324757213889)))",156.01,1,Manhattan,15601,1015601,I,MN32,Yorkville,3805,4004.82447,791912.5084
"MULTIPOLYGON (((-73.94331889400091 40.785173297875225, -73.94422334927893 40.78393330763442, -73.94472264526976 40.78324757213889, -73.94706938226676 40.784236227617285, -73.94933170560962 40.78519312655764, -73.94882667099267 40.78588117501905, -73.94865477786354 40.78611184061859, -73.94861743055631 40.786161957071386, -73.94839517770102 40.78646018451159, -73.94833227536803 40.78654843022583, -73.9482927400711 40.78660389450201, -73.94825639196094 40.78665488743942, -73.94792440877134 40.787120625020485, -73.9477835378246 40.787060744228796, -73.94771798362864 40.787032878520705, -73.94751076715022 40.78694479422862, -73.94746365512607 40.78692476757159, -73.94732983876548 40.786867883449375, -73.9472829802328 40.78684796539039, -73.94722908164185 40.78682505342885, -73.94717140129072 40.78680053464944, -73.94634125243485 40.78644763903269, -73.9462818017206 40.78642236696131, -73.9456952289074 40.78617300801165, -73.94331889400091 40.785173297875225)))",156.02,1,Manhattan,15602,1015602,E,MN33,East Harlem South,3804,4524.706934,1169934.511
"MULTIPOLYGON (((-73.95255145535168 40.78654858066246, -73.95304470593673 40.78587391150623, -73.95350260843598 40.78524710463264, -73.95396043418009 40.78461651447164, -73.95441780860884 40.78399216223721, -73.95487698963592 40.78336293804044, -73.95498802326253 40.78341004099239, -73.95648701134401 40.78404455216807, -73.95809563777446 40.78471746205275, -73.95763599389805 40.785343458323844, -73.95716853680067 40.78598289353279, -73.9567186306438 40.78660079382462, -73.9562613091966 40.7872228762799, -73.9557773591233 40.787913924471084, -73.95416383080617 40.78722686110488, -73.95266136728158 40.786595020127, -73.95255145535168 40.78654858066246)))",160.01,1,Manhattan,16001,1016001,I,MN40,Upper East Side-Carnegie Hill,3805,4698.507096,1351864.835
"MULTIPOLYGON (((-73.94181428695798 40.80123649161301, -73.94227175120977 40.80060819987344, -73.94273380479537 40.799978342517534, -73.94323386401443 40.79930718664978, -73.9437419888393 40.79861507762979, -73.94391130118719 40.79838357805667, -73.94396683034364 40.79830765295179, -73.94417026895056 40.79802949059466, -73.94432290472284 40.79782078932997, -73.94442935622443 40.79767523506506, -73.94463158311382 40.79739871972903, -73.94469410527005 40.79731322842942, -73.9447615751853 40.797220973636044, -73.94486067310103 40.7970854682728, -73.94492765571258 40.79699387687986, -73.94509614635697 40.79676348346355, -73.94522698885623 40.7968201327946, -73.94556506780826 40.79696479511533, -73.9456668471408 40.79700834433972, -73.94670030971349 40.797450543717986, -73.94722520890943 40.79767168595847, -73.94831125454388 40.798129217566824, -73.94820641538058 40.79827285059578, -73.94815384258747 40.79834487607553, -73.94810108960435 40.798417148381134, -73.94805130202998 40.79848535985433, -73.94784679118885 40.79876554270085, -73.94781662986688 40.79880686297169, -73.9477571640276 40.79888833153799, -73.94771055979322 40.798952180613476, -73.94741996169066 40.7993502952954, -73.94737599778598 40.799410524217684, -73.94732771514597 40.799476671478644, -73.94728018231291 40.799541789286266, -73.94697366807036 40.79996170291024, -73.94646133852038 40.800665305882305, -73.94596789749376 40.80134239517246, -73.94550863918208 40.80197023123966, -73.94505127984522 40.802598598717516, -73.9434358525664 40.80191926448628, -73.94195597543734 40.80129595998214, -73.94181428695798 40.80123649161301)))",184,1,Manhattan,18400,1018400,E,MN34,East Harlem North,3804,5771.874347,1903568.321
"MULTIPOLYGON (((-73.94505127984522 40.802598598717516, -73.94550863918208 40.80197023123966, -73.94596789749376 40.80134239517246, -73.94646133852038 40.800665305882305, -73.94697366807036 40.79996170291024, -73.94712864836772 40.8000277946443, -73.94794438934089 40.80037565552887, -73.94809118051086 40.80043825154981, -73.94855077748588 40.80063423518018, -73.9487527622844 40.800720024835734, -73.94944632077318 40.80101610122174, -73.94957589665016 40.80107135171313, -73.95010911906128 40.80129871423131, -73.9501865235766 40.801331723963784, -73.94968015172537 40.80202338539623, -73.94918716090655 40.80269954165638, -73.94872799132168 40.80333076807774, -73.9482730137251 40.80395720546108, -73.9481850985376 40.80392013647305, -73.94795129897906 40.80382154752816, -73.94782438931304 40.80376803166495, -73.94505127984522 40.802598598717516)))",190,1,Manhattan,19000,1019000,I,MN11,Central Harlem South,3803,4231.827159,1117371.728
"MULTIPOLYGON (((-73.95840662683158 40.80741921086748, -73.95935675309785 40.80612087786181, -73.95982680041294 40.80543485373855, -73.96007468390077 40.804706022710775, -73.96200828537998 40.805509264469094, -73.9615485818271 40.806135785933336, -73.96105362481605 40.8068209439879, -73.96050225926692 40.807576600705886, -73.96010569001768 40.80812009251789, -73.95840662683158 40.80741921086748)))",201.01,1,Manhattan,20101,1020101,I,MN09,Morningside Heights,3802,3329.881695,593526.6576
"MULTIPOLYGON (((-73.95441604408767 40.8057251797182, -73.95487450975506 40.80509688391598, -73.95536845674027 40.80441986535057, -73.95586086440528 40.80374371714889, -73.95632115140234 40.80311534473653, -73.95778177567564 40.80372822845758, -73.9582030080717 40.80389427099886, -73.95825482580142 40.80471387844146, -73.95818167318978 40.80559679112868, -73.95772176015936 40.80629098862737, -73.95726581554526 40.80691617138704, -73.95586921881952 40.8063365078798, -73.95441604408767 40.8057251797182)))",201.02,1,Manhattan,20102,1020102,E,MN11,Central Harlem South,3803,3745.871035,897067.8827
"MULTIPOLYGON (((-73.9358078020119 40.80949763825767, -73.93586263420025 40.80943020292136, -73.93625936035723 40.80885560822316, -73.93671827467935 40.80822047872681, -73.93718011798994 40.80759900086057, -73.93763439424372 40.80697460692187, -73.93808666916735 40.80635301191099, -73.9385440792941 40.8057296529329, -73.93869430486183 40.805791029210866, -73.94015793743951 40.806409089643566, -73.94177140170083 40.807088999847124, -73.94131742369488 40.80771334638104, -73.94086063109464 40.80833426759896, -73.94040344902209 40.80895809564562, -73.93994875910913 40.8095814180323, -73.93949397539926 40.81020880953354, -73.93901753314606 40.8108565568745, -73.93740733660468 40.810175611401256, -73.9358078020119 40.80949763825767)))",206,1,Manhattan,20600,1020600,E,MN03,Central Harlem North-Polo Grounds,3803,5176.873151,1602693.802
"MULTIPOLYGON (((-73.94872799132168 40.80333076807774, -73.94918716090655 40.80269954165638, -73.94968015172537 40.80202338539623, -73.9501865235766 40.801331723963784, -73.95040001551166 40.80104091836351, -73.95043225860515 40.800996999011424, -73.95063590887737 40.80071959557319, -73.95070484365267 40.80074865779863, -73.95255609887164 40.80152924878902, -73.95335909651858 40.801862652340056, -73.9534767324643 40.801916640855055, -73.95355053819885 40.80194774647053, -73.95371685486272 40.80201783840172, -73.95498226911955 40.8025511233304, -73.95506648142076 40.80258661197075, -73.95582948099748 40.802908151881844, -73.95632115140234 40.80311534473653, -73.95586086440528 40.80374371714889, -73.95536845674027 40.80441986535057, -73.95487450975506 40.80509688391598, -73.95441604408767 40.8057251797182, -73.95275931209011 40.80502817595684, -73.95164950172565 40.804559401602056, -73.95157170174062 40.804526536440925, -73.95149192298167 40.80449299526974, -73.94878743865536 40.80335576557856, -73.94872799132168 40.80333076807774)))",218,1,Manhattan,21800,1021800,E,MN11,Central Harlem South,3803,5775.546074,1958240.312
"MULTIPOLYGON (((-73.94690004861039 40.805838883645265, -73.94735193554169 40.80521317231025, -73.9478129871297 40.804586625670495, -73.94793589833222 40.80441843714812, -73.94808945033395 40.80420831861684, -73.9482730137251 40.80395720546108, -73.94872799132168 40.80333076807774, -73.94878743865536 40.80335576557856, -73.95149192298167 40.80449299526974, -73.95157170174062 40.804526536440925, -73.95164950172565 40.804559401602056, -73.95275931209011 40.80502817595684, -73.95441604408767 40.8057251797182, -73.95395687075445 40.80635331956695, -73.95349969055833 40.80698128779072, -73.95304020408147 40.80761060445602, -73.95291744630195 40.807780324375976, -73.95258511719032 40.8082380196346, -73.94982429486627 40.80707527180041, -73.94973979930995 40.8070396837448, -73.9496452332623 40.80699969571627, -73.94695250751752 40.80586106930551, -73.94690004861039 40.805838883645265)))",220,1,Manhattan,22000,1022000,E,MN11,Central Harlem South,3803,5691.514036,1882932.86
"MULTIPOLYGON (((-73.95469736619508 40.82791838551423, -73.95366644308717 40.82731780505488, -73.9536067076427 40.8272830038697, -73.9535227046033 40.827282861823946, -73.9529355788335 40.82729544700101, -73.9525896811142 40.827302860484174, -73.95206219622655 40.827079787424495, -73.95201157947076 40.82705838007489, -73.95132058638862 40.82767844985377, -73.95127333581932 40.82765849402701, -73.95005636775919 40.827145707930484, -73.94995561184453 40.82710171094533, -73.94985768642026 40.82706072333328, -73.94711684761675 40.82590453192485, -73.94760500188686 40.8252328598631, -73.94809827714882 40.82456296054291, -73.94855300558298 40.82393999386355, -73.94900611422949 40.82331426967811, -73.94969330222499 40.82360400028126, -73.95175395615803 40.82447025747965, -73.95185210536424 40.824509803220614, -73.95195281174927 40.82455180752318, -73.95368412664561 40.825312399391905, -73.95375550247643 40.82534805171742, -73.95379234341213 40.825385995130475, -73.95427872279734 40.82550268631016, -73.95444573725814 40.825564511364114, -73.95495832358816 40.82575425608452, -73.95501447706613 40.82577504245572, -73.95506606110771 40.825802293284035, -73.95537208701178 40.82592541170782, -73.95514293673679 40.826331436345775, -73.95694866420476 40.82700055393503, -73.95631784510317 40.82794421538859, -73.9562005452839 40.82790122659753, -73.95620373779573 40.82789698609988, -73.95622394360247 40.827870087391425, -73.95503912978403 40.82741343191189, -73.95469736619508 40.82791838551423)))",229,1,Manhattan,22900,1022900,E,MN04,Hamilton Heights,3802,7284.207936,2186714.274
"MULTIPOLYGON (((-73.9357441996566 40.82110565998376, -73.9384831203643 40.8222689100478, -73.93858547647466 40.82230983885566, -73.93867469004039 40.82234745449201, -73.94142630450584 40.823507517447744, -73.94097178452301 40.824132355930324, -73.94051531157453 40.82475668713817, -73.94005379467463 40.825378708891456, -73.93986038278953 40.8256479817105, -73.939602071661 40.82600258869539, -73.93935056600985 40.82589748554588, -73.93684325493798 40.82483684209697, -73.93678723179067 40.824811254242384, -73.93722321112747 40.82418336070359, -73.93767311327967 40.82356606319398, -73.93812925651855 40.822932963148354, -73.93804407117946 40.82289687925736, -73.9376697962518 40.82273832876664, -73.93757064375617 40.82269632537761, -73.93533445619907 40.821748987762646, -73.9357441996566 40.82110565998376)))",234,1,Manhattan,23400,1023400,E,MN03,Central Harlem North-Polo Grounds,3803,5656.092134,1164816.981
